,new_code,SD,SGG,P_ALL,AREA_KM,P_DEN
131,3336,충청북도,괴산군,39054,841.38764797,46.41617938440723
132,3337,충청북도,음성군,97306,519.01978076,187.48033043656824
133,3338,충청북도,단양군,30215,779.83606934,38.745322495241744
134,3339,충청북도,증평군,37783,81.82914600000001,461.73034727748467
135,3401,충청남도,천안시동남구,631531,636.192515309,992.6727913377983
136,3402,충청남도,공주시,108432,863.16972463,125.62071734673
137,3403,충청남도,보령시,100211,583.862044386,171.63472255742147
138,3404,충청남도,아산시,311453,542.843996752,573.7431045816434
139,3405,충청남도,서산시,171678,743.415255571,230.9314998763889
140,3406,충청남도,논산시,122240,553.466454837,220.86252731613263
141,3407,충청남도,계룡시,43967,60.761924876,723.594588053715
142,3408,충청남도,당진시,167439,709.308774584,236.05939472298323
143,3431,충청남도,금산군,53894,576.20629887,93.53247284122318
144,3433,충청남도,부여군,69086,624.08130627,110.70031950309838
145,3434,충청남도,서천군,55175,367.64533460999996,150.07670383885034
146,3435,충청남도,청양군,32837,479.35291395,68.50276496582461
147,3436,충청남도,홍성군,101570,443.44872257000003,229.04564796432985
148,3437,충청남도,예산군,80338,543.13453799,147.9154691530207
149,3438,충청남도,태안군,63932,536.20059837,119.2314969329526
150,3501,전라북도,전주시완산구,648964,205.282423356,3161.322773721202
151,3502,전라북도,군산시,274997,410.681314709,669.6116676135047
152,3503,전라북도,익산시,300187,507.034889592,592.0440706586364
153,3504,전라북도,정읍시,113776,697.1229887449999,163.20793007389696
154,3505,전라북도,남원시,83281,749.681397936,111.08852404406286
155,3506,전라북도,김제시,86926,544.12421814,159.75396261012304
156,3531,전라북도,완주군,95975,821.49405173,116.82981732842059
157,3532,전라북도,진안군,26271,788.39648821,33.32206623553905
158,3533,전라북도,무주군,24809,629.52835319,39.40886836039348
159,3534,전라북도,장수군,23003,531.71009371,43.26229701508368
160,3535,전라북도,임실군,30162,596.1390959299999,50.59557443208136
161,3536,전라북도,순창군,29698,499.3927774,59.46822089541898
162,3537,전라북도,고창군,60472,611.99559038,98.81116947664894
163,3538,전라북도,부안군,56086,497.7903355,112.66992546905323
164,3601,전라남도,목포시,234379,53.64007699,4369.475458502693
165,3602,전라남도,여수시,274620,520.232849272,527.8790072258911
166,3603,전라남도,순천시,235849,910.950887757,258.9041881069155
167,3604,전라남도,나주시,110110,605.390486353,181.88260714720818
168,3606,전라남도,광양시,155857,466.099544456,334.3856518501982
169,3631,전라남도,담양군,47285,453.17731447,104.3410569995119
170,3632,전라남도,곡성군,30131,547.89722871,54.99389013326845
171,3633,전라남도,구례군,27525,439.26388019,62.661651097045095
172,3635,전라남도,고흥군,65828,814.74085621,80.79624275406755
173,3636,전라남도,보성군,42377,665.83886808,63.64452727459046
174,3637,전라남도,화순군,64223,787.5497901900001,81.54785995753475
175,3638,전라남도,장흥군,40136,621.9874779300001,64.52863027656804
176,3639,전라남도,강진군,36868,501.43683183,73.52471469925688
177,3640,전라남도,해남군,73604,1047.40602446,70.27265289785518
178,3641,전라남도,영암군,47989,602.54523786,79.64381258814318
179,3642,전라남도,무안군,50209,456.6584405,109.94869588970184
180,3643,전라남도,함평군,34328,389.68695551999997,88.09122171973287
181,3644,전라남도,영광군,54581,480.44101399,113.60603780828767
182,3645,전라남도,장성군,46111,517.68372318,89.07175932971546
183,3646,전라남도,완도군,51047,408.35052745,125.0077973910549
184,3647,전라남도,진도군,31103,451.7394228,68.85163975111007
185,3648,전라남도,신안군,38747,678.68067338,57.09165078626774
186,3701,경상북도,포항시남구,513169,1132.900650943,452.9691103741975
187,3702,경상북도,경주시,257903,1320.058416635,195.37241439468124
188,3703,경상북도,김천시,142908,1004.566680662,142.25835153702786
189,3704,경상북도,안동시,166272,1526.75705646,108.90534240301787
190,3705,경상북도,구미시,421799,613.232652473,687.8286704059212
191,3706,경상북도,영주시,108371,672.537696938,161.13743585438087
192,3707,경상북도,영천시,100615,915.059594481,109.95458722780393
193,3708,경상북도,상주시,98342,1251.56960217,78.57493488935205
194,3709,경상북도,문경시,71285,913.9264867329999,77.99861480634124
195,3710,경상북도,경산시,259485,410.806145623,631.6482914501756
196,3731,경상북도,군위군,24215,613.0724319999999,39.49777992953368
197,3732,경상북도,의성군,53474,1169.32318878,45.730727409751864
198,3733,경상북도,청송군,26006,846.71211251,30.714099415570672
199,3734,경상북도,영양군,17479,819.13734338,21.338301984715457
200,3735,경상북도,영덕군,35968,744.47441499,48.31327883911649
201,3736,경상북도,청도군,40456,692.91659682,58.38509307709556
202,3737,경상북도,고령군,33768,386.40483949,87.39020982389613
203,3738,경상북도,성주군,45138,612.5166994799999,73.69268468650765
204,3739,경상북도,칠곡군,120864,450.04036884,268.5625743120169
205,3740,경상북도,예천군,49253,664.16834507,74.15740356431618
206,3741,경상북도,봉화군,33259,1200.95189911,27.69386519530677
207,3742,경상북도,울진군,50263,994.24779697,50.55379569678505
208,3743,경상북도,울릉군,9480,73.79824112,128.45834610861522
209,3803,경상남도,진주시,346681,712.400899977,486.63750987848647
210,3805,경상남도,통영시,135833,248.939751285,545.646082230117
211,3806,경상남도,사천시,114252,411.997410146,277.31242281234825
212,3807,경상남도,김해시,532132,461.673837842,1152.6145871452068
213,3808,경상남도,밀양시,106561,801.05650624,133.0255720662905
214,3809,경상남도,거제시,250214,408.97713467,611.8043743494253
215,3810,경상남도,양산시,338535,486.467379943,695.9048313571745
216,3811,경상남도,창원시 의창구,1057032,751.814372787,1405.9747169790708
217,3831,경상남도,의령군,27849,481.40744593,57.84912600635064
218,3832,경상남도,함안군,68207,415.5145377,164.15069464848713
219,3833,경상남도,창녕군,64101,529.8522708,120.97900402166209
220,3834,경상남도,고성군,54060,519.86715588,103.98810424653672
221,3835,경상남도,남해군,44642,362.61740817,123.11047124100347
222,3836,경상남도,하동군,48831,677.1221625100001,72.11549511094144
223,3837,경상남도,산청군,36340,791.37418711,45.92012298595328
224,3838,경상남도,함양군,40175,720.43565683,55.7648689638359
225,3839,경상남도,거창군,62763,798.89216535,78.56254288399876
226,3840,경상남도,합천군,47000,983.1023866200001,47.807838369297926
227,3901,제주특별자치도,제주시,478700,983.694363143,486.6348918280944
228,3902,제주특별자치도,서귀포시,178383,881.056596377,202.46485950338513
